,time,area,count
0,2023-03-16 05:00:00,Bankers Hill,0
1,2023-03-16 05:00:00,Barrio Logan,0
2,2023-03-16 05:00:00,College,0
3,2023-03-16 05:00:00,Columbia,0
4,2023-03-16 05:00:00,Core,0
5,2023-03-16 05:00:00,Cortez,0
6,2023-03-16 05:00:00,Cortez Hill,0
7,2023-03-16 05:00:00,East Village,0
8,2023-03-16 05:00:00,Five Points,0
9,2023-03-16 05:00:00,Gaslamp,0
10,2023-03-16 05:00:00,Golden Hill,0
11,2023-03-16 05:00:00,Hillcrest,0
12,2023-03-16 05:00:00,Little Italy,0
13,2023-03-16 05:00:00,Marina,0
14,2023-03-16 05:00:00,Midtown,0
15,2023-03-16 05:00:00,Mission Hills,0
16,2023-03-16 05:00:00,North Park,0
17,2023-03-16 05:00:00,Point Loma,0
18,2023-03-16 05:00:00,Talmadge,0
19,2023-03-16 05:00:00,University Heights,0
20,2023-03-16 05:09:00,North Park,1
21,2023-03-16 05:25:00,Little Italy,1
22,2023-03-16 05:41:00,Columbia,1
23,2023-03-16 06:00:00,Core,1
24,2023-03-16 06:00:00,Marina,4
25,2023-03-16 06:01:00,Core,1
26,2023-03-16 06:01:00,East Village,1
27,2023-03-16 06:01:00,Marina,16
28,2023-03-16 06:02:00,Core,2
29,2023-03-16 06:02:00,East Village,1
30,2023-03-16 06:02:00,Marina,22
31,2023-03-16 06:03:00,Core,2
32,2023-03-16 06:03:00,East Village,1
33,2023-03-16 06:03:00,Marina,28
34,2023-03-16 06:04:00,Columbia,1
35,2023-03-16 06:04:00,Core,2
36,2023-03-16 06:04:00,East Village,1
37,2023-03-16 06:04:00,Marina,34
38,2023-03-16 06:05:00,Columbia,1
39,2023-03-16 06:05:00,Core,2
40,2023-03-16 06:05:00,East Village,2
41,2023-03-16 06:05:00,Marina,39
42,2023-03-16 06:06:00,Columbia,1
43,2023-03-16 06:06:00,Core,3
44,2023-03-16 06:06:00,Cortez Hill,1
45,2023-03-16 06:06:00,East Village,3
46,2023-03-16 06:06:00,Marina,43
47,2023-03-16 06:07:00,Columbia,1
48,2023-03-16 06:07:00,Core,4
49,2023-03-16 06:07:00,Cortez Hill,1
50,2023-03-16 06:07:00,East Village,3
51,2023-03-16 06:07:00,Gaslamp,1
52,2023-03-16 06:07:00,Marina,44
53,2023-03-16 06:08:00,Columbia,1
54,2023-03-16 06:08:00,Core,4
55,2023-03-16 06:08:00,Cortez Hill,1
56,2023-03-16 06:08:00,East Village,3
57,2023-03-16 06:08:00,Gaslamp,1
58,2023-03-16 06:08:00,Marina,49
59,2023-03-16 06:09:00,Columbia,1
60,2023-03-16 06:09:00,Core,4
61,2023-03-16 06:09:00,Cortez Hill,1
62,2023-03-16 06:09:00,East Village,4
63,2023-03-16 06:09:00,Gaslamp,1
64,2023-03-16 06:09:00,Marina,54
65,2023-03-16 06:10:00,Columbia,1
66,2023-03-16 06:10:00,Core,4
67,2023-03-16 06:10:00,Cortez Hill,1
68,2023-03-16 06:10:00,East Village,4
69,2023-03-16 06:10:00,Gaslamp,2
70,2023-03-16 06:10:00,Marina,59
71,2023-03-16 06:11:00,Columbia,1
72,2023-03-16 06:11:00,Core,5
73,2023-03-16 06:11:00,Cortez Hill,1
74,2023-03-16 06:11:00,East Village,4
75,2023-03-16 06:11:00,Gaslamp,2
76,2023-03-16 06:11:00,Marina,63
77,2023-03-16 06:12:00,Columbia,1
78,2023-03-16 06:12:00,Core,5
79,2023-03-16 06:12:00,Cortez Hill,1
80,2023-03-16 06:12:00,East Village,4
81,2023-03-16 06:12:00,Gaslamp,2
82,2023-03-16 06:12:00,Little Italy,1
83,2023-03-16 06:12:00,Marina,65
84,2023-03-16 06:13:00,Columbia,1
85,2023-03-16 06:13:00,Core,6
86,2023-03-16 06:13:00,Cortez Hill,1
87,2023-03-16 06:13:00,East Village,4
88,2023-03-16 06:13:00,Gaslamp,2
89,2023-03-16 06:13:00,Little Italy,1
90,2023-03-16 06:13:00,Marina,66
91,2023-03-16 06:14:00,Columbia,2
92,2023-03-16 06:14:00,Core,6
93,2023-03-16 06:14:00,Cortez Hill,1
94,2023-03-16 06:14:00,East Village,4
95,2023-03-16 06:14:00,Gaslamp,2
96,2023-03-16 06:14:00,Little Italy,1
97,2023-03-16 06:14:00,Marina,68
98,2023-03-16 06:15:00,Columbia,2
99,2023-03-16 06:15:00,Core,6
100,2023-03-16 06:15:00,Cortez Hill,1
101,2023-03-16 06:15:00,East Village,4
102,2023-03-16 06:15:00,Gaslamp,2
103,2023-03-16 06:15:00,Little Italy,1
104,2023-03-16 06:15:00,Marina,69
105,2023-03-16 06:16:00,Columbia,3
106,2023-03-16 06:16:00,Core,6
